LEAID,total_students,american_indian_alaskan_native_students,american_indian_alaskan_native_male_students,american_indian_alaskan_native_female_students,asian_hawaiian_native_pacific_islander_students,asian_hawaiian_native_pacific_islander_male_students,asian_hawaiian_native_pacific_islander_female_students,hispanic_students,hispanic_male_students,hispanic_female_students,black_non_hispanic_students,black_non_hispanic_male_students,black_non_hispanic_female_students,white_students,white_male_students,white_female_students
2201860,4748,5,2,1,14,3,9,19,11,6,1752,918,832,2950,1497,1451
2201890,7605,5,3,2,18,10,8,64,34,30,3333,1706,1627,4185,2152,2033
2201920,3403,0,0,-2,3,1,0,25,17,6,1697,881,814,1670,903,765
2201950,2346,2,1,1,6,2,4,42,21,21,473,252,221,1823,955,868
2201980,2448,3,3,0,9,6,3,5,2,3,1051,548,503,1380,708,672
2202010,2785,3,1,2,13,7,6,20,10,10,1003,509,494,1746,872,874
2280100,636,-1,-1,-4,-4,-4,-4,-1,-1,-4,446,389,53,180,148,28
2300004,35,0,0,0,0,0,0,2,2,0,0,0,0,33,11,22
2300008,71,0,0,0,1,0,1,0,0,0,0,0,0,70,34,36
2300009,11,0,0,0,0,0,0,0,0,0,0,0,0,11,2,9
2300049,91,1,0,1,4,3,1,1,1,0,1,1,0,84,51,33
2300050,87,2,2,0,0,0,0,0,0,0,4,3,1,81,68,13
2300051,22,0,0,0,1,1,0,0,0,0,0,0,0,21,11,10
2300053,749,2,1,1,0,0,0,2,1,1,4,3,1,741,373,368
2300056,69,3,2,1,0,0,0,0,0,0,1,1,0,65,60,5
2300060,182,0,0,0,1,1,0,3,1,2,2,1,1,176,98,78
2302220,289,0,0,0,2,2,0,2,2,0,0,0,0,285,138,147
2302280,71,1,1,0,0,0,0,1,1,0,0,0,0,69,35,34
2302370,49,0,0,0,0,0,0,0,0,0,0,0,0,49,30,19
2302500,45,1,0,1,1,0,1,0,0,0,0,0,0,43,24,19
2302510,136,0,0,0,0,0,0,0,0,0,1,0,1,135,63,72
2302580,427,0,0,0,1,1,0,0,0,0,2,0,2,424,193,231
2302610,3554,26,13,13,56,27,29,37,24,13,167,86,81,3268,1712,1556
2302640,2566,-2,-2,-2,52,27,23,10,5,3,11,1,8,2487,1283,1202
2302730,444,24,14,10,6,5,1,1,0,1,3,2,1,410,215,195
2302820,4022,39,24,15,95,49,46,63,37,26,110,65,45,3715,1924,1791
2302850,430,1,1,0,19,7,12,9,5,4,8,1,7,393,198,195
2302940,1767,0,-1,-1,17,8,7,25,15,8,61,26,33,1656,836,818
2302950,58,0,0,0,0,0,0,0,0,0,3,2,1,55,32,23
2303150,2954,19,12,5,39,14,23,24,12,10,53,30,21,2811,1437,1372
2303210,200,2,2,0,4,1,3,2,2,0,2,1,1,190,92,98
2303290,757,3,2,1,4,1,3,8,6,2,9,5,4,733,375,358
2303450,122,5,2,3,0,0,0,0,0,0,0,0,0,117,51,66
2303510,1827,10,6,4,16,7,9,8,5,3,29,18,11,1764,935,829
2303600,251,2,1,1,2,1,1,1,0,1,1,1,0,245,137,108
2303610,53,0,0,0,3,0,3,0,0,0,0,0,0,50,31,19
2303640,82,0,0,0,1,0,1,0,0,0,0,0,0,81,44,37
2303780,3372,7,3,4,82,30,52,98,50,48,97,56,41,3088,1617,1471
2303810,1123,1,1,0,7,4,3,1,1,0,14,8,6,1100,623,477
2303870,671,22,10,8,2,-1,-1,5,0,1,-2,-3,-3,628,321,303
2303930,1854,3,0,3,37,20,17,17,9,8,13,5,8,1784,935,849
2303960,1680,25,14,9,27,16,9,18,7,9,15,9,4,1587,816,769
2304080,64,0,0,0,1,0,1,0,0,0,0,0,0,63,36,27
2304110,39,0,0,0,0,0,0,0,0,0,0,0,0,39,21,18
2304160,44,2,1,1,1,1,0,0,0,0,0,0,0,41,22,19
2304230,268,0,0,0,2,0,2,0,0,0,1,1,0,265,141,124
2304290,535,0,0,0,5,1,4,4,1,3,6,4,2,520,266,254
2304620,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,5,0,3
2304860,228,0,0,0,0,0,0,0,0,0,0,0,0,228,129,99
2304890,168,0,0,0,3,3,0,0,0,0,0,0,0,165,94,71
2304895,426,1,0,1,2,1,1,3,2,1,5,2,3,415,215,200
2305130,105,0,0,0,0,0,0,0,0,0,0,0,0,105,55,50
2305190,378,0,0,0,0,0,0,0,0,0,0,0,0,378,194,184
2305280,413,3,1,2,5,4,1,1,1,0,6,3,3,398,223,175
2305300,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
2305310,223,3,1,2,0,0,0,1,1,0,2,0,2,217,100,117
2305360,290,67,29,38,1,0,1,2,0,2,2,1,1,218,104,114
2305380,41,0,0,0,0,0,0,0,0,0,0,0,0,41,19,22
