total_students,total_schools,teachers_total,total_revenue,total_federal_revenue,total_state_revenue,total_local_revenue,total_expenditure,total_salaries,white_students,lowest_grade,highest_grade,metro_micro,charter_status,state_name,LEAID,NAME,exist_five_years
2568.0,b'7    ',b'182.5  ',21965000,5220000,12434000,4311000,21183000,11127000,1.0,PK,12,0,3,alabama,0103090,SUMTER CO SCH DIST,True
2415.0,b'5    ',b'165.8  ',20751000,2394000,10986000,7371000,18849000,10260000,1449.0,PK,12,2,3,alabama,0103120,SYLACAUGA CTY SCH DIST,True
2767.0,b'8    ',b'194.3  ',21892000,2921000,14105000,4866000,20954000,11649000,1228.0,KG,12,2,3,alabama,0103150,TALLADEGA CITY SCH DIST,True
7660.0,b'19   ',b'536.7  ',57971000,7032000,34301000,16638000,69348000,31719000,4479.0,PK,12,2,3,alabama,0103180,TALLADEGA CO SCH DIST,True
3350.0,b'6    ',b'-1     ',25455000,3590000,15190000,6675000,24301000,13610000,2036.0,PK,12,0,3,alabama,0103210,TALLAPOOSA CO SCH DIST,True
1849.0,b'3    ',b'119    ',12405000,1253000,8284000,2868000,11882000,6622000,1306.0,KG,12,1,3,alabama,0103240,TALLASSEE CTY SCH DIST,True
1506.0,b'5    ',b'-1     ',11093000,1572000,5948000,3573000,12964000,6218000,516.0,PK,12,1,3,alabama,0103270,TARRANT CITY SCH DIST,True
1659.0,b'3    ',b'118.4  ',11706000,1286000,7685000,2735000,12076000,6532000,901.0,KG,12,0,3,alabama,0103300,THOMASVILLE CTY SCH DIST,True
2361.0,b'5    ',b'149.7  ',18028000,2019000,10282000,5727000,18086000,9356000,993.0,KG,12,2,3,alabama,0103330,TROY CITY SCH DIST,True
10022.0,b'21   ',b'727.4  ',86541000,11469000,41769000,33303000,87972000,42480000,2422.0,PK,12,1,3,alabama,0103360,TUSCALOOSA CITY SCH DIST,True
15976.0,b'30   ',b'-1     ',114707000,11434000,71655000,31618000,109874000,59807000,11757.0,PK,12,1,3,alabama,0103390,TUSCALOOSA CO SCH DIST,True
1444.0,b'7    ',b'100    ',11567000,1097000,6622000,3848000,11263000,6204000,1031.0,PK,12,1,3,alabama,0103420,TUSCUMBIA CITY SCH DIST,True
5488.0,b'7    ',b'365    ',51696000,1197000,20040000,30459000,47367000,24945000,4785.0,KG,12,1,3,alabama,0103430,VESTAVIA HILLS CTY SCH DIST,True
8351.0,b'24   ',b'-1     ',72892000,8453000,43504000,20935000,83517000,35839000,7782.0,PK,12,1,3,alabama,0103450,WALKER CO SCH DIST,True
3575.0,b'8    ',b'-1     ',26556000,3386000,14865000,8305000,25931000,13797000,2112.0,KG,12,0,3,alabama,0103480,WASHINGTON CO SCH DIST,True
2334.0,b'7    ',b'166    ',19937000,4450000,11473000,4014000,21033000,10640000,10.0,PK,12,0,3,alabama,0103510,WILCOX CO SCH DIST,True
1281.0,b'3    ',b'94.2   ',10231000,917000,6371000,2943000,9880000,4930000,1184.0,KG,12,0,3,alabama,0103540,WINFIELD CTY SCH DIST,True
2758.0,b'10   ',b'211.2  ',22038000,2572000,14034000,5432000,20892000,11839000,2747.0,KG,12,0,3,alabama,0103580,WINSTON CO SCH DIST,True
