LEAID,NAME,cluster,label
3174200,CONESTOGA SCHOOL DIST 56,2,False
5513200,RUBICON J6 SCH DIST,4,False
4700570,CHEATHAM CO SCHOOL DIST,4,False
3399919,,4,False
3402850,CEDAR GROVE TWP SCH DIST,2,False
5003840,ESSEX TOWN SCH DIST,0,False
5400450,HANCOCK CO SCH DIST,4,False
3700120,ALLEGHANY CO SCH DIST,0,False
0899360,SOUTH PLATTE VALLEY BOCES,4,True
5003390,CRAFTSBURY TOWN SCH DIST,0,False
2700024,WARREN-ALVARADA-OSLO SCHOOL DISTRICT,0,False
4219170,PITTSBURGH CITY SCH DIST,4,False
2680750,MARQUETTE ALGER INTERMEDIATE SCHOOL,4,False
0899400,SOUTHEASTERN BOCES,2,False
4030870,VALLIANT SCH DIST 11,4,False
1742210,WHEELING COMMUNITY CONSOLIDATED SCHO,2,False
3905017,JOSEPH BADGER LOCAL SCH DIST,0,False
0806000,PLATTE VALLEY SCHOOL DIST RE-3,4,False
3017460,ALDER-UPPER RUBY ELEM DIST 2,4,False
0900330,BLOOMFIELD TOWN SCHS,2,False
3025140,SAND COULEE HIGH SCH DIST 5C,4,False
2617220,GROSSE ILE TWP SCH DIST,0,False
4836240,QUINLAN IND SCH DIST 908,4,False
2733840,ST PAUL INDEPENDENT SCHOOL DIST 625,0,False
4221840,SOMERSET AREA SCH DIST,2,False
2012000,BLUE VALLEY UNIF SCH DIST 229,2,False
0903900,SALEM TOWN SCHS,2,False
0806330,SALIDA SCH DIST R-32J,4,False
4008490,COMMERCE SCH DIST 18,0,False
3407530,HOPEWELL VALLEY REG SCH DIST,2,False
2921180,MONITEAU COUNTY SCHOOL DIST. R-5,4,False
3009510,EAST GLACIER PARK ELEM DISTRICT 50,4,False
3105550,CREIGHTON CITY SCH DIS 13,4,False
3904861,BETHEL LOCAL SCH DIST,4,False
06D0006,KINGS SCHOOLS TRANSPORTATION AUTHORI,2,True
4800254,WESTLAKE ACADEMY CHARTER,0,False
1700173,CLAY/CWFORD/JSPER/LWRNCE/RHLAND ROE,0,False
4800043,BAY AREA CHARTER SCHOOL,0,False
0612690,EMPIRE UNION ELEM SCH DIST,4,False
4102490,HARNEY CO SCH DIST 3,0,False
2707350,BYRON IND SCH DIST 531,0,False
4843950,VAN VLECK IND SCH DIST 906,4,False
4826280,LA VEGA IND SCH DIST 906,4,False
3009330,DUPUYER ELEM DIST 2,4,False
2633900,TRENTON PUB SCH DIST,4,False
4000078,FRANCIS TUTTLE AVTS 21,2,False
4810380,BLANKET I. S. DISTRICT 904,0,False
1925620,SEYMOUR COMM SCH DIST,4,False
0603780,BANGOR UNION ELEMENTARY SCH DIST,0,False
0802730,CALHAN SCH DIST R JT 1,0,False
0400058,,4,True
1710290,CISSNA PARK COMMUNITY UNIT SCHOOL DI,4,False
0800001,CHEYENNE CO SCHOOL DIST RE-5,2,False
0612960,ETIWANDA ELEM SCH DIST,0,False
2509270,OXFORD TOWN SCH,4,False
3408700,LITTLE EGG HARBOR TWP SCH DIST,4,False
5007950,SUTTON TOWN SCH DIST,0,False
3702040,HAYWOOD CO SCH,4,False
5306450,ORTING SCH DIST 344,0,False
5000023,,4,False
2005610,DOUGLASS UNIFIED SCHOOL DIST 396,0,False
2904500,BAYLESS SCH DIST,2,False
3900528,FINDLAY DIGITAL ACADEMY,0,False
1907980,COLUMBUS COMM SCH DIST,4,False
4828170,LORAINE IND SCH DIST 902,0,False
2502670,BILLERICA TOWN SCH,2,False
3400029,ELYSIAN CHARTER SCHOOL OF,4,False
3170590,FARWELL SCH DIST 67,4,True
4834710,PETROLIA IND SCH DIST 903,0,False
0600060,HUGHSON UNIFIED SCHOOL DISTRICT,4,False
3680400,,4,False
0634410,SAN FRANCISCO UNIF SCH DIST,4,False
5300510,BICKLETON SCH DIST 203,0,False
3800037,CENTRAL ELEM SPEC DIST 32,2,False
4609300,HARDING CO SCH DIST 31-1,2,False
0401410,BUCKEYE UNION H SCH DIST 201,2,False
4289392,,4,False
4215600,MONESSEN CITY SCH DIST,4,False
1733990,RIVERSIDE SCHOOL DISTRICT 96,2,False
5516710,WILD ROSE SCHOOL DIST,2,False
4200070,SOUDERTON CS COLLABORATIVE,2,False
5514880,TIGERTON SCHOOL DISTRICT,4,False
3612510,GREAT NECK UF SCH DIST,2,False
4800081,EAGLE ACADEMY OF SAN ANTO,0,True
4821630,GRAPELAND IND SCH DIST 902,4,False
3904678,BERLIN-MILAN LOCAL SCH DIST,4,False
4203000,BANGOR AREA SCH DIST,2,False
0401870,CHANDLER UNIFIED SCHOOL DIST 80,4,False
0636990,SOLANA BEACH ELEM SCH DIST,2,False
1900028,PRAIRIE VALLEY COMM SCH DIST,4,False
4225290,WEST CHESTER AREA SCHOOL DIST,2,False
4823640,HOUSTON IND SCH DIST 912,2,False
5307350,RIDGEFIELD SCH DIST 122,4,False
2800900,CANTON PUBLIC SCHOOL DIST,4,False
2708880,FRANCONIA COMM SCH DIST 323,0,False
2623520,MENDON COMM SCH DIST 7,0,False
2006840,HALSTEAD UNIF SCH DIST 440,0,False
0200840,YAKUTAT SCHOOL DISTRICT,4,False
2919350,WOODLAND SCH DIST R 4,4,False
5003430,DANBY TOWN SCH DIST,0,False
2625020,NEGAUNEE PUBLIC SCHOOLS,0,False
0400414,"ACADEMY OF BUILDING INDUSTRIES, INC.",2,False
3904412,HILLSBORO CITY SCH DIST,4,False
4200011,KEYSTONE EDUCATION CENTER CS,2,False
0102700,PHENIX CITY SCH DIST,4,False
2910080,CONCORDIA SCH DIST R 2,2,False
1712700,DUNLAP COMMUNITY UNIT SCHOOL DISTRIC,2,False
2103510,LIVINGSTON CO SCH DIST,4,False
4216170,MT PLEASANT AREA SCH DIST,4,False
4807380,ABBOTT IND SCH DIST 901,0,False
2201260,POINTE COUPEE PARISH SCH DIST,4,False
3820340,YELLOWSTONE SCH DIST 14,4,False
5508700,MARINETTE SCHOOL DISTRICT,4,False
2614790,FRANKFORT-ELBERTA AREA SCH DIST,2,False
0611490,DRY CREEK JT ELEM SCH DIST,4,False
3301710,BATH TOWN SCH DIST,4,False
0610350,CUTLER-OROSI UNIFIED SCH DIST,0,False
0400093,"SKYVIEW SCHOOL, INC.",0,False
3104980,CHADRON SCH DIST 2,4,False
0508160,,4,True
1733810,RIVER FOREST SCHOOL DISTRICT 90,2,False
1704800,AVOCA SCHOOL DISTRICT 37,2,False
2700234,,4,True
2600244,FSU - JOY PREPARATORY ACADEMY,0,False
3301380,ALLENSTOWN SCHOOL DISTRICT,4,False
4827240,LEVELLAND IND SCH DIST 902,4,False
0635590,SANTA CRUZ CITY SCHOOL DISTRICT,2,False
1305370,WALKER CO SCH DIST,4,False
1918720,MARSHALLTOWN COMM SCH DIST,4,False
3622380,PALMYRA-MACEDON CENTRAL SCHOOL DISTR,4,False
3904706,GORHAM FAYETTE LOCAL SCH DIST,4,False
3020070,PARK CITY H S DIST 5,4,False
4832740,NIXON SMILEY IND SCH DISTRICT 903,0,False
4020460,MOSS SCH DIST 1,2,False
5008460,WALLINGFORD VILLAGE SCH DIST,0,False
2802520,LEAKE COUNTY SCHOOL DISTRICT,0,False
3629850,WANTAGH UNION FREE SCH DIST,2,False
1728530,NILES TOWNSHIP C H SCHOOL DISTRICT 2,2,False
2905940,BROOKFIELD SCH DIST R3,4,False
5305160,MONTESANO SCH DIST 66,0,False
3816510,SELFRIDGE SCHOOL DISTRICT #8,4,False
4824000,HUNTINGTON IND SCH DIST 904,0,False
2635940,WESTERN SCH DIST,0,False
4000073,MID-AMERICA AREA VOC-TECH SCH DIST 8,2,False
1001530,SEAFORD SCHOOL DISTRICT,0,False
4800020,GEORGE I SANCHEZ CHARTER,0,False
3905052,ASHLAND-WAYNE CO EDUCATIONAL SERV CE,4,False
4209090,ELIZABETH FORWARD SCH DIST,4,False
3621000,NORTH COLONIE CENTRAL SCHOOL DISTRIC,2,False
2700079,SOUTHEAST EDUC COOP SVC UNIT 921,2,False
3416260,TOTOWA BORO SCH DIST,2,False
3405220,FLORENCE TWP SCH DIST,2,False
0502460,,4,True
0904530,THOMPSON TOWN SCHS,4,False
3307110,WILTON TOWN SCH DIST,4,False
3904498,WAPAKONETA CITY SCH DIST,4,False
3146950,ROCK CO SCH DIST 55,2,True
3500900,ESPANOLA SCH DIST 45,0,False
