LEAID,NAME,cluster,label
0507380,HARRISON SCHOOL DISTRICT,4,False
0621270,LE GRAND UNION HIGH,0,False
3102910,ALLIANCE PUBLIC SCHOOLS,4,False
2608910,CHEBOYGAN AREA SCHOOLS,4,False
1710760,CATLIN CUSD 5,4,False
3905067,EASTWOOD LOCAL,4,False
3611190,FONDA-FULTONVILLE CENTRAL SCHOOL DISTRICT,4,False
4010740,ELK CITY,4,False
3700750,CHATHAM COUNTY SCHOOLS,4,False
0400616,NEW SCHOOL FOR THE ARTS MIDDLE SCHOOL,0,False
0624230,MCFARLAND UNIFIED,0,False
1738790,THOMASBORO CCSD 130,4,False
3417580,WEST NEW YORK,0,False
4400870,PORTSMOUTH,2,False
2000025,KS. STATE PENITENTIARY,3,False
3399911,DOVER SAU OFFICE,1,False
4021870,GREASY,0,False
3627570,SOUTHERN CAYUGA CENTRAL SCHOOL DISTRICT,4,False
4221570,SHIPPENSBURG AREA SD,4,False
0200070,COPPER RIVER SCHOOL DISTRICT,0,False
5002060,CHITTENDEN SCHOOL DISTRICT,0,False
2800570,BAY ST LOUIS WAVELAND SCHOOL DIST,4,False
3904640,EAST CLINTON LOCAL,4,False
0400385,AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. CRESTVIEW COLLEGE,0,False
3630780,WEST SENECA CENTRAL SCHOOL DISTRICT,4,False
2311430,RSU 37/MSAD 37,4,False
0101660,GENEVA COUNTY,0,False
2700321,OSHKI OGIMAAG CHARTER SCHOOL,0,False
1601800,LAKELAND DISTRICT,0,False
1926280,SIGOURNEY COMM SCHOOL DISTRICT,4,False
4400030,BARRINGTON,2,False
4212840,KISKI AREA SD,4,False
5004470,GUILFORD SCHOOL DISTRICT,0,False
2508650,NORFOLK COUNTY AGRICULTURAL,2,False
1920760,NORTH CENTRAL COMM SCHOOL DISTRICT,2,False
1900040,EAST MARSHALL COMM SCHOOL DISTRICT,4,False
0601322,SBC - HIGH TECH HIGH,4,False
3409870,MEDFORD TOWNSHIP,2,False
0600135,METRO EDUCATION,4,False
0400040,EDU-PRIZE  INC.,0,False
3904661,DARKE COUNTY ESC,4,False
2509180,ORANGE,0,False
1710470,CCSD 93,2,False
1303330,LINCOLN COUNTY,4,False
5305220,MOSES LAKE SCHOOL DISTRICT,0,False
4703810,SHELBY COUNTY,4,True
3016050,LAME DEER ELEM,4,False
3606330,CANANDAIGUA CITY SCHOOL DISTRICT,4,False
0622500,LONG BEACH UNIFIED,0,False
0904860,WATERFORD SCHOOL DISTRICT,2,False
1800660,BLUE RIVER VALLEY SCHOOLS,4,False
3417460,WEST ESSEX REGIONAL,2,False
2512300,WELLFLEET,2,False
